ナンバー,名前,画像URL,値段,場所,北半球の季節,南半球の季節,時間
1,モンシロチョウ,https://img.game8.jp/6608199/82ae7219ec561fb9d1993ff0fee034f9.png/show,160,空中,9月〜6月,3月〜12月,4時〜19時
2,モンキチョウ,https://img.game8.jp/6608238/ba61ffbf57c629074a8a81ef82319922.png/show,160,空中,3月〜6月,3月〜4月,4時〜19時
3,アゲハチョウ,https://img.game8.jp/6608226/9eec48c51602d59f1cc105a05f3ca5c1.png/show,240,空中,3月〜9月,1月〜3月,4時〜19時
4,カラスアゲハ,https://img.game8.jp/6608225/214e8419eba0b202a749be92a343ccb5.png/show,2500,空中/花(黒、青、紫),3月〜6月,9月〜12月,4時〜19時
5,アオスジアゲハ,https://img.game8.jp/6608205/5500d10c5d16cb3a77ed326c8412f5c5.png/show,300,空中,4月〜8月,1月〜2月,4時〜19時
6,オオゴマダラ,https://img.game8.jp/6608165/7871dbb90faa79cb700e790afe4b9c22.png/show,1000,空中,いつでも,いつでも,8時〜19時
7,オオムラサキ,https://img.game8.jp/6608217/a2f7c418e44dc4186da38c30eef0a8c7.png/show,3000,空中,5月〜8月,1月〜2月,4時〜19時
8,オオカバマダラ,https://img.game8.jp/6608194/f6e7e72e8dcacf08b5f3a06e2d32e1da.png/show,140,空中,9月〜11月,3月〜5月,4時〜15時
9,モルフォチョウ,https://img.game8.jp/6608241/5304798f4ac14788814a99a10419db0e.png/show,4000,空中,12月〜3月,1月〜3月,17時〜翌8時
10,ミイロタテハ,https://img.game8.jp/6608208/44ecded7b31b592daa12032be3267d38.png/show,3000,空中, 4月〜9月,1月〜3月,8時〜17時
11,アカエリトリバネアゲハ,https://img.game8.jp/6608172/b32aeeaeafc2d715e3163311d237cfe1.png/show,2500,空中,1月〜2月,1月〜3月,8時〜17時
12,アレキサンドラトリバネアゲハ,https://img.game8.jp/6608185/57e5174ebbced8b58ab33f5e0541aa10.png/show,4000,空中, 5月〜9月,1月〜3月,8時〜16時
13,ガ,https://img.game8.jp/6608235/d6f77f2ff111e260d0b325d3f217de94.png/show,130,街灯,いつでも,いつでも,19時〜翌4時
14,ヨナグニサン,https://img.game8.jp/6608188/6725146a4af43829525811ca4fe89754.png/show,3000,木, 4月〜9月,1月〜3月,19時〜翌4時
15,ニシキオオツバメガ,https://img.game8.jp/6608215/bf996f4459c520d9310ac1f56505b1ea.png/show,2500,花の近く,4月〜9月,1月〜3月,8時〜16時
16,ショウリョウバッタ,https://img.game8.jp/6608196/970ed926fb32653de6cfee1a2fa5435e.png/show,200,陸,4月〜11月,1月〜5月,8時〜19時
17,トノサマバッタ,https://img.game8.jp/6608228/72f1a6bfd4774fb5d6402f7bdfb1f650.png/show,600,陸,8月〜11月,2月〜5月,8時〜19時
18,イナゴ,https://img.game8.jp/6608166/7173c5e98f601121d51fd64a21193d11.png/show,400,陸,8月〜11月,2月〜5月,8時〜19時
19,キリギリス,https://img.game8.jp/6608222/af6de81a91177187be3d9859efe38dbb.png/show,160,陸,7月〜9月,1月〜3月,8時〜17時
20,コオロギ,https://img.game8.jp/6608190/e6d1fc53ffaf7754d3246d552d11d529.png/show,130,陸,9月〜11月,3月〜5月,17時〜翌8時
21,スズムシ,https://img.game8.jp/6608198/a3f8a3d9dd9b37abdd366ada320384ea.png/show,430,陸,9月〜10月,3月〜4月,17時〜翌8時
22,カマキリ,https://img.game8.jp/6608177/5b340d498ee952ae167dc2210b1a479a.png/show,430,花,3月〜11月,1月〜5月,8時〜17時
23,ハナカマキリ,https://img.game8.jp/6608237/a18a58b1a3c7f9f7e5dab3b22a7ae2af.png/show,2400,花,3月〜11月,1月〜5月,8時〜17時
24,ミツバチ,https://img.game8.jp/6608209/72aa922d17a0e4a3269a397c44eb56c7.png/show,200,花,3月〜7月,1月,8時〜17時
25,ハチ,https://img.game8.jp/6608221/bc88e0adba2441ea8b956325cb95e203.png/show,2500,木揺,いつでも,いつでも,いつでも
26,アブラゼミ,https://img.game8.jp/6608214/3df31bb3b6f0d95ba6f926b1626e7738.png/show,250,木,7月〜8月,1月〜2月,8時〜17時
27,ミンミンゼミ,https://img.game8.jp/6608213/07e7f0c55b1ec757c9f3e31d5b33c232.png/show,300,木,7月〜8月,1月〜2月,8時〜17時
28,クマゼミ,https://img.game8.jp/6608195/28aafdc9a4fe79d2d40f3cd1d710dadc.png/show,500,木,7月〜8月,1月〜2月,8時〜17時
29,ツクツクホウシ,https://img.game8.jp/6608211/3a7f61469cab7ba032ccf9508f1ddd00.png/show,400,木,8月〜9月,2月〜3月,8時〜17時
30,ヒグラシ,https://img.game8.jp/6608204/5061da4eee9439836ec5da15f57ba34c.png/show,550,木,7月〜8月,1月〜2月,4時〜8時
31,セミのぬけがら,https://img.game8.jp/6608229/db3803c65498baeefd17baf7f3c3bbaa.png/show,10,木,7月〜8月,1月〜2月,いつでも
32,アキアカネ,https://img.game8.jp/6608169/8c63153b9e9543cf0389bbb28850e524.png/show,180,陸,9月〜10月,3月〜4月,8時〜19時
33,ギンヤンマ,https://img.game8.jp/6608178/dc10cc0eb7df0b387e81b57fcd1a5f72.png/show,230,陸,4月〜10月,1月〜4月,8時〜17時
34,オニヤンマ,https://img.game8.jp/6608167/a5a040b2ba80ae66d6c3588ceac8848b.png/show,4500,空中,5月〜10月,1月〜4月,8時〜17時
35,イトトンボ,https://img.game8.jp/6608179/21ef98862a6c0ba8ad7b0fa80dc9a542.png/show,500,空中,11月〜2月,5月〜8月,いつでも
36,ホタル,https://img.game8.jp/6608202/e32eade9d57fae81e5b1e374c25b454c.png/show,300,川の近くの空中,6月,12月,19時〜翌4時
37,オケラ,https://img.game8.jp/6608192/dd368f183eccc5557aea1058662a4d14.png/show,500,土の中,1月〜5月,5月〜11月,いつでも
38,アメンボ,https://img.game8.jp/6608175/29d1f113e6934eb573e962fb237f002e.png/show,130,池,5月〜9月,1月〜3月,8時〜19時
39,ゲンゴロウ,https://img.game8.jp/6608231/d6c70342b9f88d41f0a57556aa9d30fb.png/show,800,池,5月〜9月,1月〜3月,8時〜19時
40,タガメ,https://img.game8.jp/6608181/0d9324cd2e6ea53c8a80d941892f7575.png/show,2000,川,4月〜9月,1月〜3月,19時〜翌8時
41,カメムシ,https://img.game8.jp/6608170/684b0b7c8f838fb043fa007ceab31b9d.png/show,120,花,3月〜10月,1月〜4月,いつでも
42,ジンメンカメムシ,https://img.game8.jp/6608224/0c81c7d258b27b0b89b14986d8051d65.png/show,1000,花,3月〜10月,1月〜4月,19時〜翌8時
43,てんとう虫,https://img.game8.jp/6608236/5124e9f2f82bf117d31375b2a74e9881.png/show,200,花,3月〜6月,4月,8時〜17時
44,ハンミョウ,https://img.game8.jp/6608197/b7cbb091fffdd640d5010264d3f0a9b9.png/show,1500,陸,2月〜10月,1月〜4月,いつでも
45,タマムシ,https://img.game8.jp/6608218/217541dbec896a53591e1e98d5dcfa3a.png/show,2400,切り株,4月〜8月,1月〜2月,いつでも
46,バイオリンムシ,https://img.game8.jp/6608171/e6992ce35bcb57ffaa43c9476fd0026f.png/show,450,切り株,5月〜6月,3月〜5月,いつでも
47,ゴマダラカミキリ,https://img.game8.jp/6608239/11e1911ebaa7478b137c13b72b1a4c23.png/show,350,切り株,いつでも,いつでも,いつでも
48,ルリボシカミキリ,https://img.game8.jp/6608206/22fd8db2b44b513813c56b37d5292dcc.png/show,3000,切り株,5月〜9月,1月〜3月,いつでも
49,ホウセキゾウムシ,https://img.game8.jp/6608216/405b9f2c7208e9371d593a39a0bb298e.png/show,800,ヤシの木,7月〜8月,1月〜2月,いつでも
50,フンコロガシ,https://img.game8.jp/6608183/0343a83fc5138be5b214bbcc02956d0b.png/show,3000,雪玉,12月〜2月,6月〜8月,いつでも
51,オオセンチコガネ,https://img.game8.jp/6608223/6726b38402748e71ce403fb44a95d387.png/show,300,陸,7月〜9月,1月〜3月,いつでも
52,プラチナコガネ,https://img.game8.jp/6608201/5744e641ff28ae2a803745598606fd79.png/show,10000,木、ヤシの木,7月〜8月,1月〜2月,23時〜翌8時
53,カナブン,https://img.game8.jp/6608203/8c6564e077216573276bf9c2f11ca67b.png/show,200,木,6月〜8月,1月〜2月,いつでも
54,ゴライアスオオツノハナムグリ,https://img.game8.jp/6608232/7f8d160b8c4775d7f0ffe843c0f88921.png/show,8000,ヤシの木,6月〜9月,1月〜3月,17時〜翌8時
55,ノコギリクワガタ,https://img.game8.jp/6608212/b11514145c6e2b456b4fffc9d9212da4.png/show,2000,木、ヤシの木,7月〜8月,1月〜2月,いつでも
56,ミヤマクワガタ,https://img.game8.jp/6608180/510b6a2074256d18bbb2a945e867744c.png/show,1000,木,7月〜8月,1月〜2月,いつでも
57,オオクワガタ,https://img.game8.jp/6608174/268d9948a11e8911c17c0239bcf3a352.png/show,10000,木、ヤシの木,7月〜8月,1月〜2月,23時〜翌8時
58,ニジイロクワガタ,https://img.game8.jp/6608200/0995489229c578d35eb2f5e04623ff6f.png/show,6000,木、ヤシの木,6月〜9月,1月〜3月,19時〜翌8時
59,ホソアカクワガタ,https://img.game8.jp/6608210/98b4e58cab62e79a2840ef903e1957a7.png/show,8000,ヤシの木,7月〜8月,1月〜2月,17時〜翌8時
60,オウゴンオニクワガタ,https://img.game8.jp/6608176/2b802521d713bbf6e62abdc0a8c8d968.png/show,12000,ヤシの木,7月〜8月,1月〜2月,17時〜翌8時
61,ギラファノコギリクワガタ,https://img.game8.jp/6608234/988967586d6b6b10e6a1139a8d4a4958.png/show,12000,ヤシの木,7月〜8月,1月〜2月,17時〜翌8時
62,カブトムシ,https://img.game8.jp/6608168/6809de87b94c70396735bc23d0a1817a.png/show,1350,木、ヤシの木,7月〜8月,1月〜2月,17時〜翌8時
63,コーカサスオオカブト,https://img.game8.jp/6608187/498db1c666f9d4bd005334fcda8a80ec.png/show,8000,ヤシの木,7月〜8月,1月〜2月,17時〜翌8時
64,ゾウカブト,https://img.game8.jp/6608219/c256841a862598f4db72a7ec27c2cb12.png/show,8000,ヤシの木,7月〜8月,1月〜2月,17時〜翌8時
65,ヘラクレスオオカブト,https://img.game8.jp/6608173/d883fa4cb598906d8c1a3690298e2bd5.png/show,12000,ヤシの木,7月〜8月,1月〜2月,17時〜翌8時
66,ナナフシ,https://img.game8.jp/6608193/53c7cfccddd5f48f816d2564168b7d87.png/show,600,木、ヤシの木,7月〜11月,1月〜5月,4時〜8時
67,コノハムシ,https://img.game8.jp/6608182/a11ac24b430a476230a4e164acc1e238.png/show,600,木の根元,7月〜9月,1月〜3月,いつでも
68,ミノムシ,https://img.game8.jp/6608227/3ac656141ed6e2467fb5af747ddcb121.png/show,600,木揺,いつでも,いつでも,いつでも
69,アリ,https://img.game8.jp/6608164/7ac1ca3639fb762d95b6d71cd755878a.png/show,80,カブ,いつでも,いつでも,いつでも
70,ヤドカリ,https://img.game8.jp/6608184/0a9671b40bb9fcf5a3b063f1d3cec252.png/show,1000,砂浜,いつでも,いつでも,19時〜翌8時
71,フナムシ,https://img.game8.jp/6608243/0f3530f29634257e5d26ae23755d5426.png/show,200,岩場,いつでも,いつでも,いつでも
72,ハエ,https://img.game8.jp/6608230/528a19313919ff62dccdefb6d9ae548f.png/show,60,長靴、缶、タイヤ、腐ったカブ,いつでも,いつでも,いつでも
73,カ,https://img.game8.jp/6608220/9fbe1f8243675470c4fa3867b0d98ef8.png/show,130,空中,6月〜9月,1月〜3月,17時〜翌4時
74,ノミ,https://img.game8.jp/6608191/75f8a8b00e800c0bfea6999a814d927d.png/show,70,住人,4月〜11月,1月〜5月,いつでも
75,カタツムリ,https://img.game8.jp/6608186/45bc0fc93e16b5b29e65cd19f3e7a00b.png/show,250,雨の日の切り株、岩,いつでも,いつでも,いつでも
76,ダンゴムシ,https://img.game8.jp/6608240/54d8064219337dba46d3f83558244257.png/show,250,岩,9月〜6月,3月〜12月,23時〜翌16時
77,ムカデ,https://img.game8.jp/6608242/e0d3470c0d95f0096551bca81f3fce43.png/show,300,岩,9月〜6月,3月〜12月,16時〜23時
78,クモ,https://img.game8.jp/6608189/af878881de5e5c74c2ea8d4f116b7e2d.png/show,600,木揺,いつでも,いつでも,19時〜翌8時
79,タランチュラ,https://img.game8.jp/6608233/824d790cd8c9f17d01d39ad58eedce9f.png/show,8000,陸,11月〜4月,5月〜10月,19時〜翌4時
80,サソリ,https://img.game8.jp/6608207/0ef4f686199a7ab7fab65e0a614fa6a2.png/show,8000,陸,5月〜10月,1月〜4月,19時〜翌4時
