ナンバー,名前,画像URL,魚影,値段,場所,北半球の季節,南半球の季節,時間
1,タナゴ,https://img.game8.jp/6608508/9d5d6aa381ae4104ae574cbcad03d00c.png/show,極小,900,川,11月〜3月,5月〜9月,いつでも
2,オイカワ,https://img.game8.jp/6608487/2f294e099fb8b74010c44d351161d418.png/show,極小,200,川,いつでも,いつでも,9時〜16時
3,フナ,https://img.game8.jp/6608535/bd22e1c691f9f367e7849b0856567908.png/show,小,160,川,いつでも,いつでも,いつでも
4,ウグイ,https://img.game8.jp/6608502/8593d41bd024e4a6040d950f30b3122d.png/show,中,240,川,いつでも,いつでも,16時〜翌9時
5,コイ,https://img.game8.jp/6608549/8cc693f3b2153096730d815cb975fcff.png/show,大,300,池,いつでも,いつでも,いつでも
6,ニシキゴイ,https://img.game8.jp/6608541/ad3c8a3f1e2f9d7b623fa1b7406c6cf3.png/show,大,4000,池,いつでも,いつでも,16時〜翌9時
7,キンギョ,https://img.game8.jp/6608482/7e1729f7a3cde0163c2cf8eaa614c8eb.png/show,極小,1300,池,いつでも,いつでも,いつでも
8,デメキン,https://img.game8.jp/6608495/458ce46f4ab529faffe1f96f2408404c.png/show,極小,1300,池,いつでも,いつでも,9時〜16時
9,ランチュウ,https://img.game8.jp/6608542/bb24eb18ede1749c4f88bcc8e7bfae9c.png/show,小,4500,池,いつでも,いつでも,9時〜16時
10,メダカ,https://img.game8.jp/6608530/dd24ddfeff00c68b63a70bf3a31b1803.png/show,極小,300,池,4月〜8月,1月〜2月,いつでも
11,ザリガニ,https://img.game8.jp/6608519/ce7aa7571b64a0a57d02e4964af6a321.png/show,小,200,池,4月〜9月,1月〜3月,いつでも
12,スッポン,https://img.game8.jp/6608546/fabb79b9c1aaa0d567724a61631b661e.png/show,大,3750,川,8月〜9月,2月〜3月,16時〜翌9時
13,カミツキガメ,https://img.game8.jp/6608520/2794cfd240a45771a60e53c9fe6f238a.png/show,大,5000,川,4月〜10月,1月〜4月,21時〜翌4時
14,オタマジャクシ,https://img.game8.jp/6608511/3365f7cd323092afdbc7e231463bb8f1.png/show,極小,100,池,3月〜7月,1月,いつでも
15,カエル,https://img.game8.jp/6608506/0a89929ac2f737b2f3e806568064e291.png/show,小,120,池,5月〜8月,1月〜2月,いつでも
16,ドンコ,https://img.game8.jp/6608494/6ca0aa1bcea9ce900fa9cb8f070014f2.png/show,小,400,川,いつでも,いつでも,16時〜翌9時
17,ドジョウ,https://img.game8.jp/6608505/11505e9af46d1a2e6ea28447ba333b54.png/show,小,400,川,3月〜5月,9月〜11月,いつでも
18,ナマズ,https://img.game8.jp/6608497/3b0eee8ff7aa0c2a24a265e25f113b0d.png/show,大,800,池,5月〜10月,1月〜4月,16時〜翌9時
19,ライギョ,https://img.game8.jp/6608539/a1e2d888a78f705f21bc01666dcb200c.png/show,大,5500,池,6月〜8月,1月〜2月,9時〜16時
20,ブルーギル,https://img.game8.jp/6608551/04566d984183196bd099ae138277ed25.png/show,小,180,川,いつでも,いつでも,9時〜16時
21,イエローパーチ,https://img.game8.jp/6608528/a2642db3d883fac0a98d52d60b1ab6a1.png/show,中,300,川,10月〜3月,4月〜9月,いつでも
22,ブラックバス,https://img.game8.jp/6608536/2c14cf5ec3dfc4acba235cc647ee4298.png/show,大,400,川,いつでも,いつでも,いつでも
23,ティラピア,https://img.game8.jp/6608493/c9f57874dfdac7bb10dee972cea14661.png/show,中,800,川,6月〜10月,1月〜4月,いつでも
24,パイク,https://img.game8.jp/6608554/366d302f24b2c1164a5714e69af2ac1c.png/show,大,1800,川,9月〜12月,3月〜6月,いつでも
25,ワカサギ,https://img.game8.jp/6608548/833c524a70f20a2369a2cc5cd9669ecd.png/show,小,400,川,12月〜2月,6月〜8月,いつでも
26,アユ,https://img.game8.jp/6608479/3218c7c0735712332e3d0a7f26325812.png/show,中,900,川,7月〜9月,1月〜3月,いつでも
27,ヤマメ,https://img.game8.jp/6608540/70b15c42c5bb26fede244b39a1786606.png/show,中,1000,崖の上,3月〜6月,3月〜5月,16時〜翌9時
28,オオイワナ,https://img.game8.jp/6608547/f9f136030e9ab81672e449adea0a3685.png/show,中,3800,崖の上,3月〜6月,3月〜5月,16時〜翌9時
29,ゴールデントラウト,https://img.game8.jp/6608483/325698009b6d6969e37ea300eb8cece0.png/show,中,15000,崖の上,3月〜5月,3月〜5月,16時〜翌9時
30,イトウ,https://img.game8.jp/6608477/d7024b581bb18d52ea0f19e4d0c786e9.png/show,大,15000,崖の上,1月〜3月,6月〜9月,16時〜翌9時
31,サケ,https://img.game8.jp/6608498/f9d75d7143013535155a04a9471778ca.png/show,大,700,河口,9月,3月,いつでも
32,キングサーモン,https://img.game8.jp/6608486/bce5802d4f5a97516e9e489961603cfa.png/show,大,1800,河口,9月,3月,いつでも
33,シャンハイガニ,https://img.game8.jp/6608504/5c442d91465758d28bce51942f2987d4.png/show,小,2000,川,9月〜11月,3月〜5月,16時〜翌9時
34,グッピー,https://img.game8.jp/6608555/e920b831d46a88587eb9a7045dc3fae6.png/show,極小,1300,川,4月〜11月,1月〜5月,9時〜16時
35,ドクターフィッシュ,https://img.game8.jp/6608517/cea286fcff23583a17904c6a03c0e382.png/show,極小,1500,川,5月〜9月,1月〜3月,9時〜16時
36,エンゼルフィッシュ,https://img.game8.jp/6608512/19594bd9bcf7ae66f592ef087f8b250c.png/show,小,3000,川,5月〜10月,1月〜4月,16時〜翌9時
37,ベタ,https://img.game8.jp/6608537/ced9dd4a104e0cf41a9f29f43780493f.png/show,小,2500,川,5月〜10月,1月〜4月,9時〜16時
38,ネオンテトラ,https://img.game8.jp/6608501/ad267e1545d2cd925db13c25966f89ca.png/show,極小,500,川,4月〜11月,1月〜5月,9時〜16時
39,レインボーフィッシュ,https://img.game8.jp/6608553/b7818f277c7efb5fa2527ae20dc76637.png/show,極小,800,川,5月〜10月,1月〜4月,9時〜16時
40,ピラニア,https://img.game8.jp/6608543/6cffda3ba82d8157432a2f8a6604add7.png/show,小,2500,川,6月〜9月,1月〜3月,9時〜16時
41,アロワナ,https://img.game8.jp/6608476/8bd0a917b4e4c4b4c2909b6ef449d484.png/show,大,10000,川,6月〜9月,1月〜3月,16時〜翌9時
42,ドラド,https://img.game8.jp/6608500/69b0fdd11fd518dd8733a122bfb79a72.png/show,大,15000,川,6月〜9月,1月〜3月,4時〜21時
43,ガー,https://img.game8.jp/6608488/c961dd2a63cc0192a93a8b8beaa83ad4.png/show,大,6000,池,6月〜9月,1月〜3月,16時〜翌9時
44,ピラルク,https://img.game8.jp/6608518/926dc53e32e566a08e9bab0b81166bbe.png/show,特大,10000,川,6月〜9月,1月〜3月,16時〜翌9時
45,エンドリケリー,https://img.game8.jp/6608478/4476fa7d3dc51a6155bd343eb0468d91.png/show,大,4000,川,6月〜9月,1月〜3月,21時〜翌4時
46,チョウザメ,https://img.game8.jp/6608525/9b40380639cf1b5884e4208b97dae101.png/show,特大,10000,河口,1月〜3月,3月〜9月,いつでも
47,クリオネ,https://img.game8.jp/6608490/f503c96d4dd0382dc93c1ce1629de2b5.png/show,極小,1000,海,12月〜3月,6月〜9月,いつでも
48,タツノオトシゴ,https://img.game8.jp/6608510/4e1b7a41c7005d73671137131343abe0.png/show,極小,1100,海,4月〜11月,1月〜5月,いつでも
