ナンバー,名前,画像URL,魚影,値段,場所,北半球の季節,南半球の季節,時間
1,ワカメ,https://img.game8.jp/6608061/0c77d9471b5ced6f7a9782189fecb255.png/show,大,600,海,10月〜7月,4月〜1月,いつでも
2,ウミブドウ,https://img.game8.jp/6608037/6185467904367ad5ec4791c2db79e844.png/show,中,900,海,6月〜9月,12月〜3月,いつでも
3,ナマコ,https://img.game8.jp/6608059/c50516b0000d2b3f37e787e189222e22.png/show,大,500,海,11月〜4月,5月〜10月,いつでも
4,センジュナマコ,https://img.game8.jp/6608058/48704ac5fb0ed9a5f9e947e72d745740.png/show,中,10000,海,11月〜2月,5月〜8月,16時〜翌9時
5,ヒトデ,https://img.game8.jp/6608065/2716d1a34532b6a2145a61acaaef241e.png/show,中,500,海,いつでも,いつでも,いつでも
6,ウニ,https://img.game8.jp/6608035/bfc75a6eb23fc79f7c63cc0cc4e6642d.png/show,中,1700,海,5月〜9月,11月〜3月,いつでも
7,パイプウニ,https://img.game8.jp/6608043/7f2b7566f2063741613093ebc20e42a4.png/show,大,2000,海,5月〜9月,11月〜3月,16時〜翌9時
8,イソギンチャク,https://img.game8.jp/6608033/77e472f5bfbd8032116e28c622294968.png/show,大,500,海,いつでも,いつでも,いつでも
9,ミズクラゲ,https://img.game8.jp/6608064/74f78729d235b6f7eb83dc3202821a08.png/show,中,600,海,7月〜9月,1月〜3月,いつでも
10,ウミウシ,https://img.game8.jp/6608049/19857b07e13c2cf7c5f74d85ffce1bbd.png/show,小,600,海,いつでも,いつでも,いつでも
11,アコヤガイ,https://img.game8.jp/6608039/3fc9be4da472652f3fb5bea817126a99.png/show,中,2800,海,いつでも,いつでも,いつでも
12,ムールガイ,https://img.game8.jp/6608070/ea684497d52cf935e5f2e201e4025186.png/show,中,1500,海,6月〜12月,12月〜6月,いつでも
13,オイスター,https://img.game8.jp/6608066/560a017b205d8fcb00d09301e1ee6e1c.png/show,中,1100,海,9月〜2月,3月〜8月,いつでも
14,ホタテ,https://img.game8.jp/6608042/af97e7cf73adb2026831551c7ae7df50.png/show,大,1200,海,いつでも,いつでも,いつでも
15,バイガイ,https://img.game8.jp/6608056/269ef506e04a4f93ce066444ef509a4e.png/show,中,1000,海,いつでも,いつでも,いつでも
16,サザエ,https://img.game8.jp/6608047/443884ac9281659aed05addf976467b0.png/show,中,1000,海,3月〜5月,9月〜11月,いつでも
17,アワビ,https://img.game8.jp/6608041/7bead798171d4391b998c5d6bad5010b.png/show,中,2000,海,6月〜1月,12月〜7月,16時〜翌9時
18,オオシャコガイ,https://img.game8.jp/6608054/007c30205250ce2d21e08c7310ae8826.png/show,大,15000,海,5月〜9月,11月〜3月,いつでも
19,オウムガイ,https://img.game8.jp/6608031/819cba3c46980e750ae9c6a5445ec382.png/show,大,1800,海,3月〜6月,9月〜12月,16時〜翌9時
20,タコ,https://img.game8.jp/6608067/d4e0268d3616e668a105ad3cf8844301.png/show,大,1200,海,いつでも,いつでも,いつでも
21,メンダコ,https://img.game8.jp/6608051/cc520a0685ffcedecc0cedfe21f3f6ec.png/show,中,6000,海,3月〜5月,9月〜11月,いつでも
22,コウモリダコ,https://img.game8.jp/6608034/f6d8916e4f14cae9584dbf0cf04fdeb2.png/show,大,10000,海,5月〜8月,11月〜2月,16時〜翌9時
23,ホタルイカ,https://img.game8.jp/6608062/1007ee527dcc01efd10406e787d7575e.png/show,小,1400,海,3月〜6月,9月〜12月,21時〜翌4時
24,ガザミ,https://img.game8.jp/6608045/447b73a519f7434f6ee9773112f94cb7.png/show,大,2200,海,6月〜11月,12月〜5月,いつでも
25,ダンジネスクラブ,https://img.game8.jp/6608053/a0834ad35572c041d2a06eac65ac8bfd.png/show,大,1900,海,11月〜5月,5月〜11月,いつでも
26,ズワイガニ,https://img.game8.jp/6608036/b6a7084957cba5480422c2e0827b78d4.png/show,大,6000,海,11月〜4月,5月〜10月,いつでも
27,タラバガニ,https://img.game8.jp/6608057/19c4275202e8613cd5cc002c8f8cb661.png/show,大,8000,海,11月〜3月,5月〜9月,いつでも
28,フジツボ,https://img.game8.jp/6608063/9382023c2f808c20051db95a9e654d0a.png/show,小,600,海,いつでも,いつでも,いつでも
29,タカアシガニ,https://img.game8.jp/6608050/84105b981f5150d92d425271fc291097.png/show,大,12000,海,3月〜4月,9月〜10月,いつでも
30,クルマエビ,https://img.game8.jp/6608044/cebc6822729ccf3ca99f0c80645d369a.png/show,中,3000,海,6月〜9月,12月〜3月,16時〜翌9時
31,アマエビ,https://img.game8.jp/6608038/4b50ca71373d9b3c5620e036f9e73bae.png/show,中,1400,海,9月〜12月,3月〜8月,16時〜翌9時
32,シャコ,https://img.game8.jp/6608069/33f9c3527459233ee546201be3318899.png/show,中,2500,海,いつでも,いつでも,16時〜翌9時
33,イセエビ,https://img.game8.jp/6608032/53e58beb5591ae449efcd36be5fe5128.png/show,大,5000,海,10月〜12月,4月〜6月,21時〜翌4時
34,ロブスター,https://img.game8.jp/6608046/e6c153304517a35b5109186398c1d244.png/show,大,4500,海,4月〜6月,6月〜7月,いつでも
35,ダイオウグソクムシ,https://img.game8.jp/6608068/8ff9426a86a99d0639a691178f7d9569.png/show,大,12000,海,7月〜10月,1月〜4月,9時〜16時
36,カブトガニ,https://img.game8.jp/6608040/57503fe462da089880dfb2763fd4e0e1.png/show,大,2500,海,7月〜9月,1月〜3月,21時〜翌4時
37,ホヤ,https://img.game8.jp/6608060/2f1bbdc0308405cf257b562cfd66b529.png/show,中,1500,海,4月〜8月,10月〜2月,いつでも
38,チンアナゴ,https://img.game8.jp/6608055/1f498ca96972a5bcf25f417c98326755.png/show,中,1100,海,5月〜10月,11月〜4月,4時〜21時
39,ヒラムシ,https://img.game8.jp/6608052/50f880dd8698462fd4c334c24e4ce59c.png/show,小,700,海,8月〜9月,2月〜3月,16時〜翌9時
40,カイロウドウケツ,https://img.game8.jp/6608048/f3a00ca14681121a4431eab6e4b904b4.png/show,大,5000,海,10月〜2月,4月〜8月,いつでも
